Codigo;Nome completo;Unidade;Periodicidade;Inicio_dd/MM/aaaa;Ultimo_Valor;Desativada;Fonte;Especial
45;Fundo de comodities - Patrimônio líquido;u.m.c. (mil);D;21/12/1992;29/12/1995;S;Sisbacen PESP300;N
46;Fundo de comodities - Captação líquida;u.m.c. (mil);D;21/12/1992;29/12/1995;S;Sisbacen PESP300;N
47;Fundo de comodities - Rentabilidade diária (%);% a.d.;D;21/12/1992;29/12/1995;S;Sisbacen PESP300;N
48;Fundo mútuo de renda fixa - Patrimônio líquido;u.m.c. (mil);D;31/01/1991;29/12/1995;S;Sisbacen PESP300;N
49;Fundo mútuo de renda fixa - Captação líquida;u.m.c. (mil);D;31/01/1991;29/12/1995;S;Sisbacen PESP300;N
50;Fundo mútuo de renda fixa - Rentabilidade diária (%);% a.d.;D;31/01/1991;29/12/1995;S;Sisbacen PESP300;N
51;Fundo de ações-carteira livre - Patrimônio líquido;u.m.c. (mil);D;06/10/1993;29/09/2000;S;Sisbacen PESP300;N
52;Fundo de ações-carteira livre - Captação líquida;u.m.c. (mil);D;06/10/1993;29/09/2000;S;Sisbacen PESP300;N
53;Fundo de ações-carteira livre - Rentabilidade diária (%);% a.d.;D;06/10/1993;29/09/2000;S;Sisbacen PESP300;N
54;Fundo de ações-tradicional - Patrimônio líquido;u.m.c. (mil);D;31/01/1991;29/09/2000;S;Sisbacen PESP300;N
55;Fundo de ações-tradicional - Captação líquida;u.m.c. (mil);D;31/01/1991;29/09/2000;S;Sisbacen PESP300;N
56;Fundo de ações-tradicional - Rentabilidade diária (%);% a.d.;D;31/01/1991;29/09/2000;S;Sisbacen PESP300;N
57;Depósitos especiais remunerados - Saldos;u.m.c. (mil);D;15/08/1991;29/12/1995;S;Sisbacen PDER300;N
58;Depósitos especiais remunerados - Resgates;u.m.c. (mil);D;15/08/1991;29/12/1995;S;Sisbacen PDER300;N
59;Depósitos especiais remunerados - Rentabilidade diária (%);% a.d.;D;15/08/1991;29/12/1995;S;Sisbacen PDER300;N
60;Fundo de renda fixa-capital estrangeiro - Patrimônio líquido;u.m.c. (mil);D;01/03/1994;16/04/2001;S;Sisbacen PESP300;N
61;Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%);% a.d.;D;01/03/1994;16/04/2001;S;Sisbacen PESP300;N
63;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
64;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
67;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
68;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
69;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
70;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
73;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
74;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
75;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
76;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
77;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
78;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
79;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
80;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
81;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
82;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
83;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
84;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
85;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Vendor - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
86;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Vendor;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
87;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Vendor - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
88;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Vendor;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
89;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC) - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
90;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC);u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
91;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Export notes - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
92;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Export notes;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
93;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Repasses externos - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
94;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Repasses externos;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
95;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Cheque especial - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
96;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Cheque especial;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
97;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Cheque especial - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
98;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Cheque especial;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
99;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Crédito pessoal - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
100;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Crédito pessoal;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
101;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Crédito pessoal - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
102;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Crédito pessoal;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
103;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
104;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
105;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física - Taxa total;% a.d.;D;04/07/1994;31/12/2012;S;Sisbacen PESP300;N
106;Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física;u.m.c. (mil);D;01/06/1993;31/12/2012;S;Sisbacen PESP300;N
108;BTN/UFIR mensal;u.m.c.;M;28/02/1989;01/09/2000;S;Sisbacen PTAX860;N
109;Fundo de aplicações financeiras - Aplicações em depósitos obrigatórios;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
110;Fundo de aplicações financeiras - Aplicações em depósitos inst. títulos TDE;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
111;Fundo de aplicações financeiras - Aplicações em operações compromissadas;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
112;Fundo de aplicações financeiras - Aplicações em quotas fundos desenvolvimento social;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
113;Fundo de aplicações financeiras - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
114;Fundo de aplicações financeiras - Aplicações em títulos estaduais ou municipais;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
115;Fundo de aplicações financeiras - Aplicações em títulos privados;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
116;Fundo de aplicações financeiras - Aplicações em títulos de desenvolvimento econômico;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
117;Fundo de aplicações financeiras - Aplicações em títulos vinculados a projetos agrícolas;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
118;Fundo de aplicações financeiras - Aplicações em letras hipotecárias;u.m.c. (mil);M;30/04/1991;01/11/1995;S;Sisbacen PFAF300;N
119;Fundo de comodities - Aplicações em export notes;u.m.c. (mil);M;31/12/1992;01/12/1995;S;Sisbacen PESP300;N
120;Fundo de comodities - Aplicações em CDB/RDB;u.m.c. (mil);M;31/12/1992;01/11/1995;S;Sisbacen PESP300;N
121;Fundo de comodities - Aplicações em Warrants;u.m.c. (mil);M;31/12/1992;01/11/1995;S;Sisbacen PESP300;N
122;Fundo de comodities - Aplicações em certificados de mercadorias;u.m.c. (mil);M;31/12/1992;01/12/1995;S;Sisbacen PESP300;N
123;Fundo de comodities - Aplicações em títulos federais;u.m.c. (mil);M;31/12/1992;01/12/1995;S;Sisbacen PESP300;N
124;Fundo de comodities - Aplicações em títulos estaduais ou municipais;u.m.c. (mil);M;31/12/1992;01/12/1995;S;Sisbacen PESP300;N
125;Fundo de comodities - Aplicações em títulos privados;u.m.c. (mil);M;31/12/1992;01/12/1995;S;Sisbacen PESP300;N
126;Fundo de comodities - Aplicações em quotas FAF;u.m.c. (mil);M;31/12/1992;01/12/1995;S;Sisbacen PESP300;N
127;Fundo de comodities - Aplicações em notas promissórias;u.m.c. (mil);M;31/12/1992;01/11/1995;S;Sisbacen PESP300;N
128;Fundo de comodities - Aplicações em ações;u.m.c. (mil);M;31/12/1992;01/11/1995;S;Sisbacen PESP300;N
129;Fundo de comodities - Aplicações em ouro;u.m.c. (mil);M;31/12/1992;01/11/1995;S;Sisbacen PESP300;N
130;Fundo mútuo de renda fixa - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
131;Fundo mútuo de renda fixa - Aplicações em títulos do Banco Central;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
132;Fundo mútuo de renda fixa - Aplicações em títulos estaduais e municipais;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
133;Fundo mútuo de renda fixa - Aplicações em ações;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
134;Fundo mútuo de renda fixa - Aplicações em debêntures;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
135;Fundo mútuo de renda fixa - Aplicações em títulos privados;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
136;Fundo mútuo de renda fixa - Aplicações em juros do mercado futuro;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
