Codigo;Nome completo;Unidade;Periodicidade;Inicio_dd/MM/aaaa;Ultimo_Valor;Desativada;Fonte;Especial
4916;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4917;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4918;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4919;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4920;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4921;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4922;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Empresas estatais estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4923;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Empresas estatais municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4924;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros nominais - Externa - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4925;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Governo Federal e Banco Central;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4926;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Governo Federal;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4927;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4928;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4929;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4930;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4931;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4932;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4933;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Empresas estatais estaduais;R$ (milhões);M;01/01/1996;01/12/2009;S;BCB-DSTAT;N
4934;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Empresas estatais municipais;R$ (milhões);M;01/01/1996;01/12/2009;S;BCB-DSTAT;N
4935;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado primário - Total - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4936;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Governo Federal e Banco Central;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4937;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Governo Federal;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4938;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4939;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4940;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4941;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4942;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4943;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4944;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Empresas estatais estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4945;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Empresas estatais municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4946;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Total - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4947;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Governo Federal e Banco Central;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4948;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Governo Federal;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4949;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4950;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4951;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4952;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4953;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4954;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4955;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Empresas estatais estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4956;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Empresas estatais municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4957;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Interna - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4958;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Governo Federal e Banco Central;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4959;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Governo Federal;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4960;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4961;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4962;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4963;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4964;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4965;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4966;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Empresas estatais estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4967;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Empresas estatais municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4968;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Resultado operacional - Externa - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4969;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Governo Federal e Banco Central;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4970;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Governo Federal;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4971;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4972;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4973;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4974;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4975;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4976;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4977;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Empresas estatais estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4978;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Empresas estatais municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4979;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Total - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4980;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governo Federal e Banco Central;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4981;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governo Federal;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4982;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4983;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4984;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4985;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4986;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4987;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4988;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4989;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Empresas estatais municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4990;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Interna - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4991;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governo Federal e Banco Central;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4992;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governo Federal;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4993;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Banco Central;R$ (milhões);M;01/01/1999;01/12/2009;S;BCB-DSTAT;N
4994;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governos estaduais e municipais;R$ (milhões);M;31/01/1991;01/12/2009;S;BCB-DSTAT;N
4995;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governos estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4996;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Governos municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
4997;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4998;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais federais;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
4999;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais estaduais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
5000;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Empresas estatais municipais;R$ (milhões);M;01/01/1998;01/12/2009;S;BCB-DSTAT;N
5001;NFSP sem desvalorização cambial - Fluxo acumulado no ano (valorizado) - Juros reais - Externa - Setor público consolidado;R$ (milhões);M;01/12/2001;01/12/2009;S;BCB-DSTAT;N
5002;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governo Federal e Banco Central;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5003;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governo Federal;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5004;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Banco Central;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5005;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governos estaduais e municipais;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5006;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governos estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5007;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Governos municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5008;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5009;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais federais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5010;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5011;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Empresas estatais municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5012;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Total - Setor público consolidado;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5013;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governo Federal e Banco Central;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5014;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governo Federal;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5015;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Banco Central;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5016;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governos estaduais e municipais;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5017;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governos estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5018;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Governos municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5019;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5020;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais federais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5021;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5022;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Empresas estatais municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5023;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Interna - Setor público consolidado;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5024;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governo Federal e Banco Central;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5025;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governo Federal;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5026;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Banco Central;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5027;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governos estaduais e municipais;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5028;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governos estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5029;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Governos municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5030;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5031;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais federais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5032;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5033;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Empresas estatais municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5034;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Resultado nominal - Externa - Setor público consolidado;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5035;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Governo Federal e Banco Central;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5036;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Governo Federal;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5037;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Banco Central;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5038;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Governos estaduais e municipais;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5039;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Governos estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5040;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Governos municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5041;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5042;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais federais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5043;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5044;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Empresas estatais municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5045;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Total - Setor público consolidado;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5046;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governo Federal e Banco Central;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5047;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governo Federal;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5048;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Banco Central;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5049;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governos estaduais e municipais;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5050;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governos estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5051;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Governos municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5052;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5053;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais federais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5054;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5055;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Empresas estatais municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5056;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Interna - Setor público consolidado;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
5057;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governo Federal e Banco Central;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5058;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governo Federal;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5059;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Externa - Banco Central;R$ (milhões);M;01/12/1999;01/08/2017;N;BCB-DSTAT;N
5060;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governos estaduais e municipais;R$ (milhões);M;01/12/1991;01/08/2017;N;BCB-DSTAT;N
5061;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governos estaduais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5062;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Externa - Governos municipais;R$ (milhões);M;01/12/1998;01/08/2017;N;BCB-DSTAT;N
5063;NFSP sem desvalorização cambial - Fluxo acumulado em 12 meses - Juros nominais - Externa - Empresas estatais;R$ (milhões);M;01/11/2002;01/08/2017;N;BCB-DSTAT;N
